x1,x2,x3,x4,,x1,x2,x3,x4,,,,,
181,305,184,209,,189,245,137,163,,n1 ,19,,
158,237,133,188,,192,260,132,217,,n2,20,,
184,300,166,231,,217,276,141,192,,,,,
171,273,162,213,,221,299,142,213,,34032.58302,74427.72277,25028.65898,33863.292
181,297,163,224,,171,239,128,158,,30182.00065,61389.00097,17426.36764,40612.76027
181,308,160,223,,192,262,147,173,,39748.65898,82507.59617,23244.20321,44126.84905
177,301,166,221,,213,278,136,201,,37624.32982,81360.91251,22846.10193,45161.39328
198,308,141,197,,192,255,128,185,,30774.58302,70693.52021,20705.12725,35173.67181
180,286,146,214,,170,244,128,192,,34575.58302,80395.79873,23364.05129,38361.64649
177,299,171,192,,201,276,146,186,,37528.48174,83384.62149,22414.20321,44205.59584
176,317,166,213,,195,242,128,192,,37823.01347,78239.79873,17910.5702,36252.98815
192,312,166,209,,205,263,147,192,,30424.5577,69505.24168,18545.6968,40879.4186
176,285,141,200,,180,252,121,167,,35404.48174,82232.57085,24799.32982,35524.86155
169,287,162,214,,192,283,138,183,,34148.45642,76405.02662,21086.20321,40688.39328
164,265,147,192,,200,294,138,188,,39172.86155,81751.90002,24240.20321,39924.292
181,308,157,204,,192,277,150,177,,31508.45642,71542.21636,16923.5702,33205.06411
192,276,154,209,,200,287,136,173,,32283.27918,80941.267,22198.10193,38953.4186
181,278,149,235,,181,255,146,183,,32640.15257,77651.70995,20142.72212,35908.86155
175,271,140,192,,192,287,141,198,,34575.58302,85015.79873,23396.97533,35909.1654
197,303,170,205,,194.4736842,267.0526316,137.3684211,185.9473684,,38212.86155,78942.98848,20793.89937,35953.292
179.55,290.8,157.2,209.25,,,,,,,32584.58302,70619.03912,21608.77276,42775.95033
,,,,,,,,,,33429.4311,77512.86187,19603.54488,37828.86155
,,,,,,,,,,,,,
,-529.2031881,-2652.255768,3645.590386,-4837.22252,,342,,,URBAR,34561.78621,77079.97854,21383.0686,38700.51452
,-4379.785561,-15690.97757,-3956.700963,1912.245748,,,,,,,,,
,5186.872774,5427.617629,1861.134616,5426.334532,,,,,VR,165514231.8,241818482.1,65366719.9,61377721.02
,3062.543606,4280.933973,1463.033334,6460.878762,,,,,,241818482.1,654392551.7,174584818.7,40547442.14
,-3787.203188,-6386.458333,-677.9413458,-3526.842712,,,,,,65366719.9,174584818.7,109738800.1,22764985.78
,13.79681187,3315.820193,1980.982692,-338.8680324,,,,,,61377721.02,40547442.14,22764985.78,238139990.6
,2966.69553,6304.642949,1031.134616,5505.081327,,,,,,,,,
,3261.227261,1159.820193,-3472.498398,-2447.526367,,,,,vr_inverse,1.4929E-08,-5.42897E-09,3.58027E-10,-2.95761E-09
,-4137.228509,-7574.736859,-2837.371795,2178.904083,,,,,,-5.42897E-09,4.62987E-09,-4.3448E-09,1.02628E-09
,842.6955296,5152.592308,3416.261219,-3175.65297,,,,,,3.58027E-10,-4.3448E-09,1.59943E-08,-8.81479E-10
,-413.329791,-674.9519217,-296.8653841,1987.878762,,,,,,-2.95761E-09,1.02628E-09,-8.81479E-10,4.87102E-09
,4611.075338,4671.921476,2857.134616,1223.77748,,,,,,,,,
,-3053.329791,-5537.76218,-4459.498398,-5495.450405,,,,,,,,,
,-2278.507035,3861.288461,815.0333336,252.9040826,,,,,,,,,
,-1921.633638,571.7314089,-1240.346475,-2791.65297,,,,,,,,,
,13.79681187,7935.820193,2013.906731,-2791.349123,,,,,,,,,
,3651.075338,1863.009935,-589.1692309,-2747.22252,,0.00211066,-0.003358595,-0.002804784,-0.003295696,,,,
,-1977.203188,-6460.939424,225.7041663,4075.435814,,-0.000656964,0.001045397,0.000873018,0.001025819,,,,
,-1132.355112,432.8833323,-1779.523719,-871.6529699,,-0.000960205,0.00152793,0.001275984,0.001499315,,,,
,,,,,,-0.000839777,0.001336298,0.001115951,0.001311272,,,,
,-14.92368421,23.74736842,19.83157895,23.30263158,,,,,,,,,
,-14.92368421,,,,,,,,,,,,
,23.74736842,,,,,-0.00014143,,,vr_inverse,1.4929E-08,-5.42897E-09,3.58027E-10,-2.95761E-09
,19.83157895,,,,,4.40216E-05,,,,-5.42897E-09,4.62987E-09,-4.3448E-09,1.02628E-09
,23.30263158,,,,,6.4341E-05,,,,3.58027E-10,-4.3448E-09,1.59943E-08,-8.81479E-10
,,,,,,5.62714E-05,,,,-2.95761E-09,1.02628E-09,-8.81479E-10,4.87102E-09
,-5103.9,,,,,,,,,,,,
,8121.6,,,,,,,,,,,,
,6782.4,,,,,,,,,,,,
,7969.5,,,,,-0.00014143,4.40216E-05,6.4341E-05,5.62714E-05,,,0.005743313,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,0.001137123,0.000658014,-3.62389E-05,0.000351761,,,,,,,,
,,0.000658014,0.000892946,-0.000699792,0.000194228,,,,,,,,
,,-3.62389E-05,-0.000699792,0.00215133,-0.000139316,,,,,,,,
,,0.000351761,0.000194228,-0.000139316,0.000904599,,,,,,,,
